21:13:19 | INFO     | data_sampler.py:120 - sampling | Skipping LICENSE/README file: downloads\data\retriever\LICENSE
21:13:26 | INFO     | data_sampler.py:51 - sampling_JSON | Sampling nq-adv-hn-train.json with 69639 objects by 20% ...
21:13:43 | INFO     | data_sampler.py:69 - sampling_JSON | Sample data saved to downloads\sample_20pct_data\retriever\nq-adv-hn-train.json, with 13927 objects
21:13:47 | INFO     | data_sampler.py:51 - sampling_JSON | Sampling nq-dev.json with 6515 objects by 20% ...
21:13:54 | INFO     | data_sampler.py:69 - sampling_JSON | Sample data saved to downloads\sample_20pct_data\retriever\nq-dev.json, with 1303 objects
21:14:25 | INFO     | data_sampler.py:51 - sampling_JSON | Sampling nq-train.json with 58880 objects by 20% ...
21:15:33 | INFO     | data_sampler.py:69 - sampling_JSON | Sample data saved to downloads\sample_20pct_data\retriever\nq-train.json, with 11776 objects
21:15:34 | INFO     | data_sampler.py:120 - sampling | Skipping LICENSE/README file: downloads\data\retriever\README
21:15:34 | INFO     | data_sampler.py:120 - sampling | Skipping LICENSE/README file: downloads\data\retriever\qas\LICENSE
21:15:34 | INFO     | data_sampler.py:81 - sampling_CSV | Sampling nq-dev.csv with 8757 lines by 20% ...
21:15:34 | INFO     | data_sampler.py:103 - sampling_CSV | Sample data saved to downloads\sample_20pct_data\retriever\qas\nq-dev.csv, with 1751 lines
21:15:34 | INFO     | data_sampler.py:81 - sampling_CSV | Sampling nq-test.csv with 3610 lines by 20% ...
21:15:34 | INFO     | data_sampler.py:103 - sampling_CSV | Sample data saved to downloads\sample_20pct_data\retriever\qas\nq-test.csv, with 722 lines
21:15:34 | INFO     | data_sampler.py:81 - sampling_CSV | Sampling nq-train.csv with 79168 lines by 20% ...
21:15:34 | INFO     | data_sampler.py:103 - sampling_CSV | Sample data saved to downloads\sample_20pct_data\retriever\qas\nq-train.csv, with 15833 lines
21:15:34 | INFO     | data_sampler.py:120 - sampling | Skipping LICENSE/README file: downloads\data\retriever\qas\README
21:16:20 | INFO     | data_sampler.py:81 - sampling_CSV | Sampling psgs_w100.tsv with 21015324 lines by 20% ...
21:17:44 | INFO     | data_sampler.py:103 - sampling_CSV | Sample data saved to downloads\sample_20pct_data\wikipedia_split\psgs_w100.tsv, with 4203064 lines
